Numero d expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripcio dia setmana,Dia setmana,Descripcio tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripcio torn,Descripcio causa vianant,Numero de morts,Numero de lesionats lleus,Numero de lesionats greus,Numero de vehicles implicats,CoordenadaUTMY,CoordenadaUTMX,Long,Lat
2015S006530,2,Eixample,8,l Antiga Esquerra de l Eixample,191204,Mallorca,0135 0135,Dilluns,Dl,Laboral,2015,8,Agost,31,1,Nit,No es causa del  vianant,0,0,2,2,4582360.14,429395.55,2.154394406,41.387825818
2015S009431,2,Eixample,8,l Antiga Esquerra de l Eixample,223606,Muntaner,0187B0187B,Divendres,Dv,Laboral,2015,12,Desembre,11,18,Tarda,No es causa del  vianant,0,1,0,2,4582913.02,429123.03,2.151070478,41.392781436
2015S000154,2,Eixample,7,la Dreta de l Eixample,268003,Provença,0388 0388,Dijous,Dj,Laboral,2015,1,Gener,8,17,Tarda,No es causa del  vianant,0,1,0,2,4583825.14,430729.86,2.170184446,41.401136692
2015S006879,2,Eixample,7,la Dreta de l Eixample,286504,Roger de Flor,0210 0216,Diumenge,Dg,Laboral,2015,9,Setembre,13,15,Tarda,No es causa del  vianant,0,1,0,2,4583679.74,430834.54,2.171453247,41.399836138
2015S002060,2,Eixample,7,la Dreta de l Eixample,191204,Mallorca,0336 0336,Dimecres,Dc,Laboral,2015,3,Març,18,15,Tarda,No es causa del  vianant,0,1,0,1,4583551.71,430641.46,2.169158350,41.398666371
2015S004368,2,Eixample,7,la Dreta de l Eixample,350308,Valencia,0345 0345,Dissabte,Ds,Laboral,2015,6,Juny,6,19,Tarda,No es causa del  vianant,0,1,0,3,4583463.52,430712.59,2.170019271,41.397878208
2015S001254,2,Eixample,8,l Antiga Esquerra de l Eixample,268003,Provença,0186 0186,Dimecres,Dc,Laboral,2015,2,Febrer,18,20,Tarda,No es causa del  vianant,0,1,0,2,4582512.47,429391.06,2.154322942,41.389197409
2015S009003,2,Eixample,8,l Antiga Esquerra de l Eixample,70607,Casanova,0169 0169,Divendres,Dv,Laboral,2015,11,Novembre,27,17,Tarda,No es causa del  vianant,0,0,0,2,4582805.89,429041.18,2.150104079,41.391809333
2015S000060,2,Eixample,7,la Dreta de l Eixample,144601,Diagonal,0380 0380,Dilluns,Dl,Laboral,2015,1,Gener,5,10,Mati,No es causa del  vianant,0,1,0,2,4583600.45,430617.38,2.168864728,41.399103278
2015S006676,2,Eixample,7,la Dreta de l Eixample,144601,Diagonal,0380 0380,Divendres,Dv,Laboral,2015,9,Setembre,4,21,Tarda,No es causa del  vianant,0,1,0,2,4583600.45,430617.38,2.168864728,41.399103278
2015S004571,2,Eixample,7,la Dreta de l Eixample,144601,Diagonal,0382 0382,Dissabte,Ds,Laboral,2015,6,Juny,13,17,Tarda,No es causa del  vianant,0,1,0,2,4583596.74,430605.41,2.168721973,41.399068830
2015S008837,2,Eixample,7,la Dreta de l Eixample,144601,Diagonal,0382 0382,Dilluns,Dl,Laboral,2015,11,Novembre,23,9,Mati,No es causa del  vianant,0,0,0,2,4583596.74,430605.41,2.168721973,41.399068830
2015S000291,2,Eixample,8,l Antiga Esquerra de l Eixample,363809,Villarroel,0157 0157,Dimecres,Dc,Laboral,2015,1,Gener,14,13,Mati,No es causa del  vianant,0,1,0,2,4582332.54,429316.12,2.153447686,41.387570255
2015S009763,2,Eixample,7,la Dreta de l Eixample,268003,Provença,0333 0333,Dimarts,Dm,Laboral,2015,12,Desembre,22,18,Tarda,No es causa del  vianant,0,1,0,2,4583657.14,430526.50,2.167771149,41.399606015
2015S001651,2,Eixample,7,la Dreta de l Eixample,144601,Diagonal,0357 0357,Dimarts,Dm,Laboral,2015,3,Març,3,14,Tarda,No es causa del  vianant,0,1,0,2,4583427.34,430240.67,2.164378634,41.397511521
2015S004036,2,Eixample,7,la Dreta de l Eixample,176801,Roger de Lluria,0106 0108,Dilluns,Dl,Laboral,2015,5,Maig,25,12,Mati,No es causa del  vianant,0,1,0,2,4583286.26,430283.20,2.164903601,41.396244550
2015S001840,2,Eixample,7,la Dreta de l Eixample,31300,Bailen,0161 0163,Dimarts,Dm,Laboral,2015,3,Març,10,12,Mati,No es causa del  vianant,0,2,0,2,4583744.90,430365.52,2.165835458,41.400382507
2015S009172,2,Eixample,7,la Dreta de l Eixample,191204,Mallorca,0303 0303,Dimecres,Dc,Laboral,2015,12,Desembre,2,20,Tarda,No es causa del  vianant,0,2,0,2,4583369.67,430424.64,2.166585785,41.397008054
